treat	lictec2	motivation	barriers	consiglio_lictec2	stdmatIII	stditaIII	school	perc_participation_orient	perc_participation_calp	perc_participation	late	female	immigrato_prima_gen	stdinvalsiI	stdinvalsiI_2	province	educmother	occmother	educfather	occfather	citizenship
0	1	.2455987	.0889995	1	.3885313	1.422955	15				0	1	0	1.263242	1.595782	2	1	3	2	2	4
1	1	.6146323	.1271666	1	-.445928	-.2650878	23	.7692308	.9655172	.9047619	1	1	1	.2882764	.0831033	2	2	3	2	2	3
0	1	-.5039054	.7806221	1	.984574	-.0664947	21				1	0	1	.5176898	.2680027	2	2	1	2	1	2
1	1	.2944235	.0512495	1	1.222991	-.0664947	23	1	.862069	.9047619	0	0	0	-.1129518	.0127581	2	3	5	3	4	3
0	1	.2003032	-.4286539	1	.8653655	.8271752	21				1	1	1	.5113178	.2614459	2	3	3	3	2	3
1	1	.6271289	-.2699267	1	.7461569	1.323658	8	1	1	1	0	1	1	-.2406578	.0579162	2	2	3	2	1	2
0	1			1	.2693228	.9264717	19				0	1	1	.594157	.3530226	2	2	1	1	1	4
1	1	.5120732	-.0845861	1	-.445928	1.621549	8	1	.8965517	.9285714	0	0	0	-.476399	.226956	2	1	2	1	2	3
0	1			1	.6269484	.330692	19				0	0	1	1.046586	1.095343	2	4	2	4	2	4
1	1	.6457758	.6512567	1	1.103783	1.025769	23	1	.7647059	.8666667	0	0	0	1.09729	1.204045	2	1	3	1	2	3
1	0			0	-.9227622	-.8608677	3	.8461539	.7931035	.8095238	1	1	1	-.5719443	.3271203	2	3	3	3	1	4
0	0	-.7864026	-.0503637	1	.8653655	.1320989	5				1	1	1	1.231381	1.516299	2	4	4	4	4	4
0	0	.2443962	.5704719	1	.2693228	-.2650878	15				1	1	1	.9573746	.9165661	2	3	3	3	2	3
0	0	-.1116151	.1185068	0	-.2075111	-.2650878	6				0	1	0	-.5082411	.258309	2	3	3	1	2	2
0	0	-.7783046	-.3076864	0	-1.87643	-.6622744	14				1	1	1	-.7312695	.5347551	2	3	2	3	2	4
0	0	.6018496	.0900898	0	-.0883026	.2313955	25				1	0	1	.0079106	.0000626	2	1	1	2	4	4
0	0			0			19				1	0	0	.0079106	.0000626	2	4	5	4	5	3
0	0	.6145005	.1313562	0	-.0883026	-2.151724	25				1	0	1	.3583839	.128439	2	1	2	1	2	4
1	0			0	-.3267197	.0328019	8	.0769231	0	.0333333	0	1	1	.8684184	.7541505	2	4	5	4	5	4
0	0			0	-.9227622	-1.258054	9				0	1	1	.0652607	.004259	2	3	3	2	2	2
1	0			0			22	0	0	0	0	1	1	-.6165946	.3801889	2	4	5	4	5	4
0	0			0	.3885313	-1.357351	19				1	0	1	.8490468	.7208805	2	3	1	3	5	4
1	0	-.125081	.0644141	1	-1.518805	-.2650878	18	1	.7931035	.8571429	1	1	1	-.7886388	.6219512	2	4	4	4	4	2
1	0	-.0618742	.0129188	0			23	.9230769	.7586207	.8095238	1	0	1	-.1385554	.0191976	2	4	5	4	5	1
0	0	-.4272848	-.1403706	0	-.5651366	-.3643845	17				0	1	0	-.2915847	.0850216	2	3	3	3	2	2
0	0			0	.6269484	-.9601645	20				0	1	0	-.6739194	.4541674	2	3	1	3	1	3
0	0	-.4356478	-.3178879	0	-.2075111	.330692	21				0	0	0	.5240622	.2746412	2	1	1	3	2	1
0	0	-.3739385	-.3217996	0	-.445928	.0328019	21				0	0	0	.7662077	.5870742	2	3	2	3	2	2
1	0	-.3820358	.3787614	0	-.6843451	.9264717	8	.9230769	.7586207	.8095238	0	0	0	.0906288	.0082136	2	1	2	3	2	1
1	0	-.7388535	.3956809	0	-.8035536	-.4636813	11	1	.8965517	.9285714	1	0	1	-.9859744	.9721456	2	3	3	3	2	2
0	0	-.4790141	-.010326	1	-1.161179	-1.655241	13				0	0	0	-.4254017	.1809666	2	3	2	3	2	4
0	0			0	-1.161179	-.8608677	19				0	1	0	-.3107016	.0965355	2	3	3	1	2	2
0	0			0	-.0883026	-1.555945	13				0	1	1	-.5401021	.2917103	2	3	3	3	2	4
0	0	-.8469298	-.0840162	0	.7461569	-.0664947	21				1	1	1	.1544722	.0238617	2	3	3	3	2	4
1	0	-.4479688	.516883	0	-.6843451	-.0664947	23	.8461539	.5294118	.6666667	0	0	0	.613318	.376159	2	3	2	3	2	1
0	1	.4476377	.0059519	0	-.5651366	.0328019	25				0	1	1	.1927056	.0371355	2	2	2	2	4	4
0	1	.3208761	-.34605	1	.5077398	.1320989	25				0	1	1	.2946614	.0868254	2	2	3	3	2	4
0	1	.5205209	-.353018	1	.7461569	.8271752	6				0	0	1	1.728416	2.987422	2	1	1	1	1	1
0	1			0	.3885313	-.1657912	19				1	0	1	.3010338	.0906214	2	2	3	2	2	4
