"","treat","lictec2","motivation","barriers","consiglio_lictec2","stdmatIII","stditaIII","school","perc_participation_orient","perc_participation_calp","perc_participation","late","female","immigrato_prima_gen","stdinvalsiI","stdinvalsiI_2","province","educmother","occmother","educfather","occfather","citizenship","preds","sqrt","excesserror","debiasederror","mom_working_class","mom_high_class","mom_home","mom_unemp","mom_miss","dad_working_class","dad_high_class","dad_home","dad_unemp","dad_miss","mom_educ_uni","mom_educ_hs","mom_educ_lhs","mom_educ_mis","dad_educ_uni","dad_educ_hs","dad_educ_lhs","dad_educ_mis","std_cit_latin","std_cit_afric","std_cit_asia","std_cit_easteur","province_pd","province_bs","province_mi","province_to","province_ge"
"290",0,1,-0.4466209,0.4740514,0,0.2693228,-1.158758,"16",NA,NA,NA,1,0,1,-0.5209854,0.2714258,"2","1","2","4","5","4",0.0175314161193949,0.0677467276212144,6.52533684503352e-07,0.206416432470788,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0
"291",0,1,0.5767313,-0.1821983,0,-0.8035536,-0.7615712,"16",NA,NA,NA,0,0,0,-0.8650866,0.7483748,"2","2","3","2","1","4",-0.0288451203461415,0.0829427145375142,5.77785146163476e-07,0.109257067997934,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"292",0,1,-0.6689615,-0.3115027,1,-0.8035536,0.330692,"5",NA,NA,NA,1,0,1,0.3137781,0.0984567,"2","4","3","2","4","4",0.11954850172162,0.0499978136574244,4.93263890536905e-07,0.11522225968094,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
"293",0,1,-0.2618604,-0.4125234,0,-0.3267197,-1.555945,"16",NA,NA,NA,1,0,1,-0.0494397,0.0024443,"2","3","3","1","2","3",0.114328845596755,0.0547271017460937,5.46652247510478e-07,0.101081210086228,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"294",0,1,NA,NA,0,0.5077398,0.4299885,"1",NA,NA,NA,0,0,0,0.1544722,0.0238617,"2","3","3","3","2","2",0.123259625510074,0.0453553617242935,4.71476691343476e-07,0.0638944788341637,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"295",1,1,0.2467897,0.0511541,1,0.6269484,1.125065,"2",1,NA,1,0,0,0,1.581886,2.502364,"2","3","3","2","1","3",0.0528214994436348,0.0412059265832054,2.52482082183991e-07,0.00532247210305011,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
"296",1,1,-0.0101564,0.3265013,0,-1.161179,-1.258054,"3",1,0.8275862,0.8809524,0,0,1,0.320125,0.10248,"2","3","3","3","2","3",0.0992615055267335,0.0463685947698731,4.30275963394647e-07,0.014523817604687,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"297",0,1,-0.3752052,0.1617139,0,-0.445928,-0.3643845,"14",NA,NA,NA,1,0,1,0.1162386,0.0135114,"2","2","2","3","2","3",0.0782226703061387,0.0441124899685062,4.74510219349811e-07,0.0474234529180282,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"298",1,1,0.6623303,0.1252209,1,0.5077398,-0.6622744,"11",1,0.9310345,0.952381,1,0,1,0.3329268,0.1108402,"2","2","3","1","5","4",0.111088083405707,0.0398004974583268,3.69078766343286e-07,0.0229356557094081,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"299",1,1,-0.7319376,0.1759224,0,-0.9227622,-1.258054,"12",0.9230769,0.6551724,0.7380952,0,0,0,-0.482956,0.2332465,"2","4","5","3","2","4",0.0135942918323641,0.0575833396535219,6.87001973921667e-07,0.200124833005574,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0
"300",1,1,-0.3918962,0.2488276,1,0.0309059,-0.5629779,"12",1,0.6896552,0.7857143,0,0,0,-0.470154,0.2210448,"2","1","3","1","1","4",0.0131271756716263,0.0515850575610697,6.64991263333333e-07,0.127079802576778,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
"301",1,1,-0.0522437,0.150161,1,0.5077398,1.323658,"4",1,0.6551724,0.7619048,0,0,1,0.3010784,0.0906482,"2","2","2","2","2","4",0.0533904739633632,0.0438477927593417,3.62081613535533e-07,0.0275842134460255,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"302",1,1,0.2619489,0.0127137,1,0.6269484,1.025769,"10",1,0.6470588,0.8,0,0,1,0.7916072,0.626642,"2","3","3","2","2","4",0.0883578254880873,0.0503986609674193,3.38190201702063e-07,0.0284324571934811,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"303",1,1,-0.3751322,0.1593917,1,1.103783,-0.5629779,"10",1,0.9655172,0.9761904,0,0,0,0.7344673,0.5394422,"2","2","2","3","2","4",0.0626372114258634,0.0396853232396625,2.97276078186672e-07,0.0130441398569326,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
"304",0,1,NA,NA,0,0.0309059,-1.158758,"19",NA,NA,NA,0,0,0,0.2500559,0.062528,"2","1","3","3","4","4",0.0781464721280627,0.0444038491336768,4.11699292760035e-07,0.0443767398743123,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
